dataset,id,flip,claim,label,original_label,evidence,pmid,entity_a,entity_b,effect
signor,SIGNOR-81674,True,MTCP1 directly inhibits AKT2,REFUTE,WRONG,"Full-length tcl1 and its isoforms bind to akt / in in vitro kinase assays using gsk-3_ as a substrate, we found that the presence of any of the tcl1 family proteins (tcl1, mtcp1, or tcl1b) as gst fusion proteins significantly enhanced akt-induced gsk-3_ phosphorylation",10983986,MTCP1,AKT2,up-regulates
signor,SIGNOR-175195,False,HRAS directly activates PIK3CG,SUPPORT,SUPPORTED,"Grb2 binds and activates sos, which then activates ras, and this activates p110 independently of p85.  it was also described that ras interacts with pi3k in a direct manner.  lysine residue 227 is essential for the interaction of ras with pi3k  we show here, however, that in vivo there are marked quantitative differences in the ability of ki- and ha-ras to activate raf-1 and phosphoinositide 3 kinase.  the mechanism of raf-1 activation is complex, but it is clear that one important role of ras is to recruit raf-1 to the plasma membrane where a series of events is initiated that ultimately leads to full raf-1 activation. These events include tyrosine, serine, and threonine phosphorylation plus interactions with ras, phospholipids, 14-3-3 proteins and their associated proteins, and possibly dimerization.",21779497,HRAS,PIK3CG,up-regulates
signor,SIGNOR-175195,True,HRAS directly inhibits PIK3CG,REFUTE,WRONG,"Grb2 binds and activates sos, which then activates ras, and this activates p110 independently of p85.  it was also described that ras interacts with pi3k in a direct manner.  lysine residue 227 is essential for the interaction of ras with pi3k  we show here, however, that in vivo there are marked quantitative differences in the ability of ki- and ha-ras to activate raf-1 and phosphoinositide 3 kinase.  the mechanism of raf-1 activation is complex, but it is clear that one important role of ras is to recruit raf-1 to the plasma membrane where a series of events is initiated that ultimately leads to full raf-1 activation. These events include tyrosine, serine, and threonine phosphorylation plus interactions with ras, phospholipids, 14-3-3 proteins and their associated proteins, and possibly dimerization.",21779497,HRAS,PIK3CG,up-regulates
signor,SIGNOR-179422,False,AURKA directly activates PLK1,SUPPORT,SUPPORTED,We find that aurora a (aurka) can directly phosphorylate plk1 on thr 210;activation of plk1 requires phosphorylation of a conserved threonine residue (thr 210).,18615013,AURKA,PLK1,up-regulates
signor,SIGNOR-179422,True,AURKA directly inhibits PLK1,REFUTE,WRONG,We find that aurora a (aurka) can directly phosphorylate plk1 on thr 210;activation of plk1 requires phosphorylation of a conserved threonine residue (thr 210).,18615013,AURKA,PLK1,up-regulates
signor,SIGNOR-45343,False,FES directly inhibits BCR,SUPPORT,SUPPORTED,"In the present study, we demonstrate that bcr tyr-246 and at least one of the closely spaced tyrosine residues, tyr-279, tyr-283, and tyr- 289 (3y cluster), are phosphorylated by fes both in vitro and in 32p(i)- labeled cells. tyrosine phosphorylation of bcr by fes suppressed bcr serine/threonine kinase activity toward the 14-3-3 protein and bcr substrate, bap-1.",8955135,FES,BCR,down-regulates
signor,SIGNOR-45343,True,FES directly activates BCR,REFUTE,WRONG,"In the present study, we demonstrate that bcr tyr-246 and at least one of the closely spaced tyrosine residues, tyr-279, tyr-283, and tyr- 289 (3y cluster), are phosphorylated by fes both in vitro and in 32p(i)- labeled cells. tyrosine phosphorylation of bcr by fes suppressed bcr serine/threonine kinase activity toward the 14-3-3 protein and bcr substrate, bap-1.",8955135,FES,BCR,down-regulates
signor,SIGNOR-98716,False,SRC directly inhibits CTTN,SUPPORT,SUPPORTED,"Cortactin was first identified as a substrate of v-src (46) that mediates in vitro phosphorylation of residues tyr-421, tyr-466, and tyr-482 at the c terminus of the murine ortholog (47). Phosphorylation of these residues attenuates the f-actin cross-linking activity",12601080,SRC,CTTN,down-regulates
signor,SIGNOR-98716,True,SRC directly activates CTTN,REFUTE,WRONG,"Cortactin was first identified as a substrate of v-src (46) that mediates in vitro phosphorylation of residues tyr-421, tyr-466, and tyr-482 at the c terminus of the murine ortholog (47). Phosphorylation of these residues attenuates the f-actin cross-linking activity",12601080,SRC,CTTN,down-regulates
signor,SIGNOR-252431,False,PRKDC directly activates AKT1,SUPPORT,SUPPORTED,"DNA-PK phosphorylates HM Ser473 of PKB. However, we also noted similar patterns in T loop Thr308 phosphorylation after _-IR []his function is apparently restricted to the PKBalpha isoform",18439899,PRKDC,AKT1,up-regulates activity
signor,SIGNOR-252431,True,PRKDC directly inhibits AKT1,REFUTE,WRONG,"DNA-PK phosphorylates HM Ser473 of PKB. However, we also noted similar patterns in T loop Thr308 phosphorylation after _-IR []his function is apparently restricted to the PKBalpha isoform",18439899,PRKDC,AKT1,up-regulates activity
signor,SIGNOR-201703,False,SOS 1 directly activates KRAS,SUPPORT,SUPPORTED,"Because the KRAS-GDP to KRAS-GTP transition catalyzed by the GEF, son of sevenless 1 (SOS1), represents the rate-limiting step for nucleotide exchange, disrupting the activating SOS1/KRAS protein interaction has also been the focus of drug development efforts",25624485,SOS 1,KRAS,up-regulates
signor,SIGNOR-201703,True,SOS 1 directly inhibits KRAS,REFUTE,WRONG,"Because the KRAS-GDP to KRAS-GTP transition catalyzed by the GEF, son of sevenless 1 (SOS1), represents the rate-limiting step for nucleotide exchange, disrupting the activating SOS1/KRAS protein interaction has also been the focus of drug development efforts",25624485,SOS 1,KRAS,up-regulates
signor,SIGNOR-260008,False,GNAT1 directly inhibits PDE6G,SUPPORT,SUPPORTED,"In the dark, PDE6 activity is suppressed by its inhibitory γ-subunit (Pγ). Rhodopsin-catalyzed activation of the G protein, transducin, relieves this inhibition and enhances PDE6 catalysis.",30962282,GNAT1,PDE6G,down-regulates activity
signor,SIGNOR-260008,True,GNAT1 directly activates PDE6G,REFUTE,WRONG,"In the dark, PDE6 activity is suppressed by its inhibitory γ-subunit (Pγ). Rhodopsin-catalyzed activation of the G protein, transducin, relieves this inhibition and enhances PDE6 catalysis.",30962282,GNAT1,PDE6G,down-regulates activity
signor,SIGNOR-278320,False,PIK3CG directly activates SET,REFUTE,WRONG,We show that PI3Kgamma phosphorylates I2PP2A on serine 9 and 93 residues resulting in enhanced interaction of I2PP2A with PP2A.,21419339,PIK3CG,SET,up-regulates activity
signor,SIGNOR-251047,False,CSNK2A2 directly activates UBE2R2,SUPPORT,SUPPORTED,"UBC3B is specifically phosphorylated by CK2 in vitro and in vivo. We mapped by deletions and site directed mutagenesis the phosphorylation site to a serine residue within the C-terminal domain in position 233 of UBC3B and in the corresponding serine residue of UBC3. | Following CK2-dependent phosphorylation both UBC3B and UBC3 bind to the F-box protein beta-TrCP, the substrate recognition subunit of an SCF (Skp1, Cul1, F-box) ubiquitin ligase. Furthermore, we observed that co-transfection of CK2alpha' together with UBC3B, but not with UBC3DeltaC, enhances the degradation of beta-catenin.",12037680,CSNK2A2,UBE2R2,up-regulates activity
signor,SIGNOR-251047,True,CSNK2A2 directly inhibits UBE2R2,REFUTE,WRONG,"UBC3B is specifically phosphorylated by CK2 in vitro and in vivo. We mapped by deletions and site directed mutagenesis the phosphorylation site to a serine residue within the C-terminal domain in position 233 of UBC3B and in the corresponding serine residue of UBC3. | Following CK2-dependent phosphorylation both UBC3B and UBC3 bind to the F-box protein beta-TrCP, the substrate recognition subunit of an SCF (Skp1, Cul1, F-box) ubiquitin ligase. Furthermore, we observed that co-transfection of CK2alpha' together with UBC3B, but not with UBC3DeltaC, enhances the degradation of beta-catenin.",12037680,CSNK2A2,UBE2R2,up-regulates activity
signor,SIGNOR-55946,False,MAP3K14 directly activates CHUK,SUPPORT,SUPPORTED,"NIK preferentially phosphorylates ikk-alpha over ikk-beta, leading to the activation of ikk-alpha kinase activity; the accumulated nik phosphorylates ikkalfa.",9520446,MAP3K14,CHUK,up-regulates activity
signor,SIGNOR-55946,True,MAP3K14 directly inhibits CHUK,REFUTE,WRONG,"NIK preferentially phosphorylates ikk-alpha over ikk-beta, leading to the activation of ikk-alpha kinase activity; the accumulated nik phosphorylates ikkalfa.",9520446,MAP3K14,CHUK,up-regulates activity
signor,SIGNOR-265578,False,SETD1B directly inhibits H3-3A,REFUTE,WRONG,SETD1B encodes a lysine-specific methyltransferase that assists in transcriptional activation of genes by depositing H3K4 methyl marks.,32546568,SETD1B,H3-3A,down-regulates activity
signor,SIGNOR-64676,False,IGF1R directly activates CSK,SUPPORT,SUPPORTED,The results suggest that c-src and csk are involved in igf-ir and ir signaling and that the interaction of csk with the igf-ir may play a role in the decrease in c-src activity following igf-i stimulation,10026153,IGF1R,CSK,up-regulates
signor,SIGNOR-64676,True,IGF1R directly inhibits CSK,REFUTE,WRONG,The results suggest that c-src and csk are involved in igf-ir and ir signaling and that the interaction of csk with the igf-ir may play a role in the decrease in c-src activity following igf-i stimulation,10026153,IGF1R,CSK,up-regulates
signor,SIGNOR-273660,False,SPRED1 directly activates NF1,REFUTE,WRONG,"Sprouty-related, EVH1 domain-containing (SPRED) proteins negatively regulate RAS/mitogen-activated protein kinase (MAPK) signaling following growth factor stimulation. This inhibition of RAS is thought to occur primarily through SPRED1 binding and recruitment of neurofibromin, a RasGAP, to the plasma membrane. Here, we report the structure of neurofibromin (GTPase-activating protein [GAP]-related domain) complexed with SPRED1 (EVH1 domain) and KRAS. The structure provides insight into how the membrane targeting of neurofibromin by SPRED1 allows simultaneous interaction with activated KRAS.",32697994,SPRED1,NF1,up-regulates quantity
signor,SIGNOR-175692,False,CDK1 directly activates AR,SUPPORT,SUPPORTED,"At first, the data show that cdk5 enables phosphorylation of ar at ser-81 site through direct biochemical interaction and, therefore, results in the stabilization of ar proteins  although ar was reported as substrates for cdk9 (5) as well as cdk1",21799006,CDK1,AR,up-regulates
signor,SIGNOR-175692,True,CDK1 directly inhibits AR,REFUTE,WRONG,"At first, the data show that cdk5 enables phosphorylation of ar at ser-81 site through direct biochemical interaction and, therefore, results in the stabilization of ar proteins  although ar was reported as substrates for cdk9 (5) as well as cdk1",21799006,CDK1,AR,up-regulates
signor,SIGNOR-250006,False,PRKACA directly inhibits MAPT,SUPPORT,SUPPORTED,"S214 can be rapidly and selectively phosphorylated in vitro by PKA, and this single site strongly affects tau's ability to bind and stabilize microtubules.",9614189,PRKACA,MAPT,down-regulates activity
signor,SIGNOR-250006,True,PRKACA directly activates MAPT,REFUTE,WRONG,"S214 can be rapidly and selectively phosphorylated in vitro by PKA, and this single site strongly affects tau's ability to bind and stabilize microtubules.",9614189,PRKACA,MAPT,down-regulates activity
signor,SIGNOR-266406,False,CEP192 directly activates AURKA,SUPPORT,SUPPORTED,These findings demonstrated that Cep192 mediates the AurA-Plk1 interaction and that the formation of the Cep192-AurA-Plk1 complex could be important for activating AurA and Plk1.,26012549,CEP192,AURKA,up-regulates activity
signor,SIGNOR-266406,True,CEP192 directly inhibits AURKA,REFUTE,WRONG,These findings demonstrated that Cep192 mediates the AurA-Plk1 interaction and that the formation of the Cep192-AurA-Plk1 complex could be important for activating AurA and Plk1.,26012549,CEP192,AURKA,up-regulates activity
signor,SIGNOR-261315,False,UBAP2L directly activates BMI1,SUPPORT,SUPPORTED,"We identified UBAP2L as a novel BMI1-interacting protein. UBAP2L, BMI1, RNF2, and PHC1 define a novel Polycomb subcomplex",25185265,UBAP2L,BMI1,up-regulates activity
signor,SIGNOR-261315,True,UBAP2L directly inhibits BMI1,REFUTE,WRONG,"We identified UBAP2L as a novel BMI1-interacting protein. UBAP2L, BMI1, RNF2, and PHC1 define a novel Polycomb subcomplex",25185265,UBAP2L,BMI1,up-regulates activity
signor,SIGNOR-51652,False,CASP3 directly inhibits GSN,SUPPORT,SUPPORTED,"Caspase-3 mediates cleavage of gelsolin, generating a fragment that severs actin filaments in an unregulated fashion. The cleavage of gelsolin causes cells to round up, detach and undergo nuclear fragmentation.",9323209,CASP3,GSN,down-regulates
signor,SIGNOR-51652,True,CASP3 directly activates GSN,REFUTE,WRONG,"Caspase-3 mediates cleavage of gelsolin, generating a fragment that severs actin filaments in an unregulated fashion. The cleavage of gelsolin causes cells to round up, detach and undergo nuclear fragmentation.",9323209,CASP3,GSN,down-regulates
signor,SIGNOR-278888,False,GNAO1 directly inhibits TRIM21,REFUTE,WRONG,"Mechanistically, GNAO1 recruited TRIM21 and facilitated TRIM21-mediated ubiquitination.",39580518,GNAO1,TRIM21,down-regulates
signor,SIGNOR-265062,False,CREB1 directly activates BDNF,SUPPORT,SUPPORTED,Brain-derived neurotrophic factor (BDNF) is a critical molecule for learning and memory. Brain BDNF levels correlate with cognitive status. Activation of CREB facilitates the transcription of crucial proteins for activity-dependent plasticity particularly BDNF.,32603820,CREB1,BDNF,up-regulates quantity
signor,SIGNOR-265062,True,CREB1 directly inhibits BDNF,REFUTE,WRONG,Brain-derived neurotrophic factor (BDNF) is a critical molecule for learning and memory. Brain BDNF levels correlate with cognitive status. Activation of CREB facilitates the transcription of crucial proteins for activity-dependent plasticity particularly BDNF.,32603820,CREB1,BDNF,up-regulates quantity
signor,SIGNOR-265411,False,SLBP directly activates H2AB1,UNCERTAIN,UNCERTAIN,"Synthesis of mature histone mRNA requires only a single processing reaction: an endonucleolytic cleavage between a conserved stem-loop and a purine-rich downstream element to form the 3' end. The stem-loop binding protein (SLBP) is required for processing, and following processing, histone mRNA is transported to the cytoplasm, where SLBP participates in translation of the histone mRNA|We used radiolabeled probes generated by PCR targeting the open reading frame (ORF) to detect histones H2A, H2B, H3, H4, and H1 and used 7SK snRNA as a loading control (Fig. 2A). The abundance of histone H2A, H2B, H3, and H4 mRNAs is reduced to 37% to 70% of control levels in the SLBP knockdown cells when compared to the C2 control.",19155325,SLBP,H2AB1,up-regulates quantity by expression
signor,SIGNOR-199168,False,SMO directly activates GNAT1,REFUTE,WRONG,"Consistent with its predicted topology, smo couples to a specific family of inhibitory g protein (gis) to regulate hh signaling.",23074268,SMO,GNAT1,up-regulates
signor,SIGNOR-134716,False,ATR directly activates CHEK1,SUPPORT,SUPPORTED,"Atr activation typically leads to chk1 phosphorylation and activation. In response to genotoxic stress, chk1 is phosphorylated on serines 317 (s317) and 345 (s345) by the ataxia-telangiectasia-related (atr) protein kinase.",15775976,ATR,CHEK1,up-regulates
signor,SIGNOR-134716,True,ATR directly inhibits CHEK1,REFUTE,WRONG,"Atr activation typically leads to chk1 phosphorylation and activation. In response to genotoxic stress, chk1 is phosphorylated on serines 317 (s317) and 345 (s345) by the ataxia-telangiectasia-related (atr) protein kinase.",15775976,ATR,CHEK1,up-regulates
signor,SIGNOR-59458,False,RPS6KA5 directly activates CREB1,SUPPORT,SUPPORTED,"Msk1 is localized in the nucleus of unstimulated or stimulated cells, and phosphorylates creb at ser133_ .MSK1 Is activated in vitro by mapk2/erk2 or sapk2/p38. Endogenous msk1 is activated in 293 cells by either growth factor/phorbol ester stimulation, or by exposure to uv radiation, and oxidative and chemical stres msk was the kinase responsible for phosphorylation of the transcription factor creb in response to tcr stimulation. Pka, ca2+-calmodulin-dependent kinase iv (camkiv), msk, p70s6k and rsk phosphorylate creb.",9687510,RPS6KA5,CREB1,up-regulates
signor,SIGNOR-59458,True,RPS6KA5 directly inhibits CREB1,REFUTE,WRONG,"Msk1 is localized in the nucleus of unstimulated or stimulated cells, and phosphorylates creb at ser133_ .MSK1 Is activated in vitro by mapk2/erk2 or sapk2/p38. Endogenous msk1 is activated in 293 cells by either growth factor/phorbol ester stimulation, or by exposure to uv radiation, and oxidative and chemical stres msk was the kinase responsible for phosphorylation of the transcription factor creb in response to tcr stimulation. Pka, ca2+-calmodulin-dependent kinase iv (camkiv), msk, p70s6k and rsk phosphorylate creb.",9687510,RPS6KA5,CREB1,up-regulates
signor,SIGNOR-250768,False,CDK7 directly activates CDK2,SUPPORT,SUPPORTED,Phosphorylation of monomeric human CDK2 by CAK1 is more efficient than phosphorylation of the binary CDK2-cyclin A complex. Phosphorylated CDK2 exhibits histone H1 kinase activity corresponding to approximately 0.3% of that observed with the fully activated phosphorylated CDK2-cyclin A complex. Fluorescence measurements have shown that Thr160 phosphorylation increases the affinity of CDK2 for both histone substrate and ATP and decreases its affinity for ADP.,10085115,CDK7,CDK2,up-regulates activity
signor,SIGNOR-250768,True,CDK7 directly inhibits CDK2,REFUTE,WRONG,Phosphorylation of monomeric human CDK2 by CAK1 is more efficient than phosphorylation of the binary CDK2-cyclin A complex. Phosphorylated CDK2 exhibits histone H1 kinase activity corresponding to approximately 0.3% of that observed with the fully activated phosphorylated CDK2-cyclin A complex. Fluorescence measurements have shown that Thr160 phosphorylation increases the affinity of CDK2 for both histone substrate and ATP and decreases its affinity for ADP.,10085115,CDK7,CDK2,up-regulates activity
signor,SIGNOR-235987,False,RAF1 directly activates MAP2K1,SUPPORT,SUPPORTED,"Among other effectors, active ras binds and activates the raf kinase, iniziating a kinase cascade involving serine phosporylation of mek1/2 (mapkk) and tyrosine and threonine phosphorylation of erk1/2 active raf phosphorylates mek phospholpeptide analysis demostrated that serine residues 218 and 222 of human mek1 are the primary sites for phosphorylation by c-raf.",10359597,RAF1,MAP2K1,up-regulates activity
signor,SIGNOR-235987,True,RAF1 directly inhibits MAP2K1,REFUTE,WRONG,"Among other effectors, active ras binds and activates the raf kinase, iniziating a kinase cascade involving serine phosporylation of mek1/2 (mapkk) and tyrosine and threonine phosphorylation of erk1/2 active raf phosphorylates mek phospholpeptide analysis demostrated that serine residues 218 and 222 of human mek1 are the primary sites for phosphorylation by c-raf.",10359597,RAF1,MAP2K1,up-regulates activity
signor,SIGNOR-255657,False,PPP1R8 directly inhibits PPP1CA,SUPPORT,SUPPORTED,We have purified two of these nuclear inhibitors of PP-1 (NIPP-1a and NIPP-1b) until homogeneity.,1322907,PPP1R8,PPP1CA,down-regulates activity
signor,SIGNOR-255657,True,PPP1R8 directly activates PPP1CA,REFUTE,WRONG,We have purified two of these nuclear inhibitors of PP-1 (NIPP-1a and NIPP-1b) until homogeneity.,1322907,PPP1R8,PPP1CA,down-regulates activity
signor,SIGNOR-272078,False,DZIP3 directly inhibits ATXN1,SUPPORT,SUPPORTED,"HOTAIR associates with E3 ubiquitin ligases bearing RNA-binding domains, Dzip3 and Mex3b, as well as with their respective ubiquitination substrates, Ataxin-1 and Snurportin-1. In this manner, HOTAIR facilitates the ubiquitination of Ataxin-1 by Dzip3 and Snurportin-1 by Mex3b in cells and in vitro, and accelerates their degradation.",24326307,DZIP3,ATXN1,down-regulates quantity by destabilization
signor,SIGNOR-272078,True,DZIP3 directly activates ATXN1,REFUTE,WRONG,"HOTAIR associates with E3 ubiquitin ligases bearing RNA-binding domains, Dzip3 and Mex3b, as well as with their respective ubiquitination substrates, Ataxin-1 and Snurportin-1. In this manner, HOTAIR facilitates the ubiquitination of Ataxin-1 by Dzip3 and Snurportin-1 by Mex3b in cells and in vitro, and accelerates their degradation.",24326307,DZIP3,ATXN1,down-regulates quantity by destabilization
signor,SIGNOR-178679,False,BCL2L11 directly inhibits BCL2L1,SUPPORT,SUPPORTED,"Bim can induce apoptosis by interacting with anti-apoptotic members of the bcl2 family, including bcl2, bcl-xl and mcl-1.Bim binds bcl-2, bcl2l1, bcl2l2, mcl1 and a1 tightly.",18498746,BCL2L11,BCL2L1,down-regulates activity
signor,SIGNOR-178679,True,BCL2L11 directly activates BCL2L1,REFUTE,WRONG,"Bim can induce apoptosis by interacting with anti-apoptotic members of the bcl2 family, including bcl2, bcl-xl and mcl-1.Bim binds bcl-2, bcl2l1, bcl2l2, mcl1 and a1 tightly.",18498746,BCL2L11,BCL2L1,down-regulates activity
signor,SIGNOR-252589,False,AKT1 directly inhibits GSK3A,SUPPORT,SUPPORTED,"In response to insulin, gsk3a inhibited by phosphorylation at ser-21 by pkb/akt1;phosphorylation at this site causes a conformational change, preventing access of substrates to the active site.",11035810,AKT1,GSK3A,down-regulates
signor,SIGNOR-252589,True,AKT1 directly activates GSK3A,REFUTE,WRONG,"In response to insulin, gsk3a inhibited by phosphorylation at ser-21 by pkb/akt1;phosphorylation at this site causes a conformational change, preventing access of substrates to the active site.",11035810,AKT1,GSK3A,down-regulates
signor,SIGNOR-141641,False,KRAS directly activates RAF1,SUPPORT,SUPPORTED,"Among other effectors, active ras binds and activates the raf kinase, iniziating a kinase cascade involving serine phosporylation of mek1/2 (mapkk) and tyrosine and threonine phosphorylation of erk1/2. the raf family of proteins (raf-1, a-raf, and b-raf) is serine/threonine kinases that bind to the effector region of ras-gtp, thus inducing translocation of the protein to the plasma membrane. Once there, raf proteins are activated and phosphorylated by different protein kinases.. Association of ras with the mapk kinase kinase, raf, initiates the raf mek erk map kinase cascade.",16293107,KRAS,RAF1,up-regulates
signor,SIGNOR-141641,True,KRAS directly inhibits RAF1,REFUTE,WRONG,"Among other effectors, active ras binds and activates the raf kinase, iniziating a kinase cascade involving serine phosporylation of mek1/2 (mapkk) and tyrosine and threonine phosphorylation of erk1/2. the raf family of proteins (raf-1, a-raf, and b-raf) is serine/threonine kinases that bind to the effector region of ras-gtp, thus inducing translocation of the protein to the plasma membrane. Once there, raf proteins are activated and phosphorylated by different protein kinases.. Association of ras with the mapk kinase kinase, raf, initiates the raf mek erk map kinase cascade.",16293107,KRAS,RAF1,up-regulates
signor,SIGNOR-144163,False,TP53 directly inhibits BCL2L1,SUPPORT,SUPPORTED,"It has been shown that tp53 can directly bind bcl2, and consequently inhibit their anti-apoptotic activities. From our co-expression study we demonstrated that the tp53ntd binds to bcl2l1.",16455050,TP53,BCL2L1,down-regulates activity
signor,SIGNOR-144163,True,TP53 directly activates BCL2L1,REFUTE,WRONG,"It has been shown that tp53 can directly bind bcl2, and consequently inhibit their anti-apoptotic activities. From our co-expression study we demonstrated that the tp53ntd binds to bcl2l1.",16455050,TP53,BCL2L1,down-regulates activity
signor,SIGNOR-251132,False,FER directly activates CTTN,SUPPORT,SUPPORTED,"FER kinase was implicated in the direct phosphorylation of cortactin. tyrosine residues (421, 466, and 482) were required for the hypertonicity-induced responses that were predominantly targeted upon FER overexpression.",10921917,FER,CTTN,up-regulates activity
signor,SIGNOR-251132,True,FER directly inhibits CTTN,REFUTE,WRONG,"FER kinase was implicated in the direct phosphorylation of cortactin. tyrosine residues (421, 466, and 482) were required for the hypertonicity-induced responses that were predominantly targeted upon FER overexpression.",10921917,FER,CTTN,up-regulates activity
signor,SIGNOR-251261,False,HCK directly activates BCR,REFUTE,WRONG,"Hck (and Lyn) kinase might cooperate in phosphorylating a binding site for Grb2, Tyr177, in Bcr.",9407116,HCK,BCR,up-regulates activity
signor,SIGNOR-179390,False,MAP2K1 directly inhibits PPARG,SUPPORT,SUPPORTED,"In conclusion, PPAR emerges as a tumor-type and tumor-stage-specific modulator that is regulated by at least three mechanisms through the ERK cascade. Downregulation is carried out through (1) MAPK-mediated Ser84/114 phosphorylation, (2) ERK cascade activation through PPAR ligands, and (3) cooperation of PPAR with tumor modulating proteins (such as MEK1)",18596912,MAP2K1,PPARG,down-regulates activity
signor,SIGNOR-179390,True,MAP2K1 directly activates PPARG,REFUTE,WRONG,"In conclusion, PPAR emerges as a tumor-type and tumor-stage-specific modulator that is regulated by at least three mechanisms through the ERK cascade. Downregulation is carried out through (1) MAPK-mediated Ser84/114 phosphorylation, (2) ERK cascade activation through PPAR ligands, and (3) cooperation of PPAR with tumor modulating proteins (such as MEK1)",18596912,MAP2K1,PPARG,down-regulates activity
signor,SIGNOR-245347,False,MYC directly activates BMI1,SUPPORT,SUPPORTED,"DKK1 led to up-regulation of WNT target c-Myc, which in turn further led to transcriptional autoactivation of BMI1",23239878,MYC,BMI1,up-regulates quantity by expression
signor,SIGNOR-245347,True,MYC directly inhibits BMI1,REFUTE,WRONG,"DKK1 led to up-regulation of WNT target c-Myc, which in turn further led to transcriptional autoactivation of BMI1",23239878,MYC,BMI1,up-regulates quantity by expression
