dataset,id,claim,label,original_label,evidence,ligand,receptor,lr_pair,species,pmid
connectomedb,CDB25:0003394,COL4A2 as ligand directly interacts extracellularly with ITGA2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-COL4A2%20ITGA2-based-on-Pubmed-ID-10381815,%2012123670",COL4A2,ITGA2,COL4A2 ITGA2,human,10381815
connectomedb,CDB25:0003395,COL4A2 as ligand directly interacts extracellularly with ITGB1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-COL4A2%20ITGB1-based-on-Pubmed-ID-10381815,%2012123670",COL4A2,ITGB1,COL4A2 ITGB1,human,10381815
connectomedb,CDB25:0003400,COL4A3 as ligand directly interacts extracellularly with ITGB3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-COL4A3%20ITGB3-based-on-Pubmed-ID-10493512,%2014610079",COL4A3,ITGB3,COL4A3 ITGB3,human,10493512
connectomedb,CDB25:0003432,CRLF1 as ligand directly interacts extracellularly with IL6ST as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CRLF1%20IL6ST-based-on-Pubmed-ID-10966616,%2011285233,%2011294841",CRLF1,IL6ST,CRLF1 IL6ST,human,10966616
connectomedb,CDB25:0003435,CRP as ligand directly interacts extracellularly with FCGR1A as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CRP%20FCGR1A-based-on-Pubmed-ID-18412163,%2033790888",CRP,FCGR1A,CRP FCGR1A,human,18412163
connectomedb,CDB25:0003436,CRP as ligand directly interacts extracellularly with FCGR2A as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CRP%20FCGR2A-based-on-Pubmed-ID-27207525,%2033790888",CRP,FCGR2A,CRP FCGR2A,human,27207525
connectomedb,CDB25:0003459,CXCL13 as ligand directly interacts extracellularly with ACKR5 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-CXCL13%20ACKR5-based-on-Pubmed-ID-33875597,%2037554323",CXCL13,ACKR5,CXCL13 ACKR5,human,33875597
connectomedb,CDB25:0003508,EFNA4 as ligand directly interacts extracellularly with EPHA10 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EFNA4%20EPHA10-based-on-Pubmed-ID-15777695,%2033436772",EFNA4,EPHA10,EFNA4 EPHA10,human,15777695
connectomedb,CDB25:0003514,EFNA5 as ligand directly interacts extracellularly with ADAM10 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EFNA5%20ADAM10-based-on-Pubmed-ID-16239146,%2023108669",EFNA5,ADAM10,EFNA5 ADAM10,human,16239146
connectomedb,CDB25:0003533,EPHA2 as ligand directly interacts extracellularly with EFNA1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHA2%20EFNA1-based-on-Pubmed-ID-15777695,%2022568954",EPHA2,EFNA1,EPHA2 EFNA1,human,15777695
connectomedb,CDB25:0003534,EPHA2 as ligand directly interacts extracellularly with EFNA2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHA2%20EFNA2-based-on-Pubmed-ID-15777695,%2022568954",EPHA2,EFNA2,EPHA2 EFNA2,human,15777695
connectomedb,CDB25:0003535,EPHA2 as ligand directly interacts extracellularly with EFNA3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHA2%20EFNA3-based-on-Pubmed-ID-15777695,%2022568954",EPHA2,EFNA3,EPHA2 EFNA3,human,15777695
connectomedb,CDB25:0003536,EPHA2 as ligand directly interacts extracellularly with EFNA4 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHA2%20EFNA4-based-on-Pubmed-ID-15777695,%2022568954",EPHA2,EFNA4,EPHA2 EFNA4,human,15777695
connectomedb,CDB25:0003537,EPHA2 as ligand directly interacts extracellularly with EFNA5 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHA2%20EFNA5-based-on-Pubmed-ID-15777695,%2022568954",EPHA2,EFNA5,EPHA2 EFNA5,human,15777695
connectomedb,CDB25:0003542,EPHA3 as ligand directly interacts extracellularly with EFNA5 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHA3%20EFNA5-based-on-Pubmed-ID-22568954,%2025993310",EPHA3,EFNA5,EPHA3 EFNA5,human,22568954
connectomedb,CDB25:0003547,EPHA4 as ligand directly interacts extracellularly with EFNA5 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHA4%20EFNA5-based-on-Pubmed-ID-22568954,%2023959867",EPHA4,EFNA5,EPHA4 EFNA5,human,22568954
connectomedb,CDB25:0003564,EPHA7 as ligand directly interacts extracellularly with EFNA5 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHA7%20EFNA5-based-on-Pubmed-ID-22568954,%2022976838",EPHA7,EFNA5,EPHA7 EFNA5,human,22568954
connectomedb,CDB25:0003571,EPHB1 as ligand directly interacts extracellularly with EFNB1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHB1%20EFNB1-based-on-Pubmed-ID-15777695,%2022568954",EPHB1,EFNB1,EPHB1 EFNB1,human,15777695
connectomedb,CDB25:0003572,EPHB1 as ligand directly interacts extracellularly with EFNB2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHB1%20EFNB2-based-on-Pubmed-ID-15777695,%2022568954",EPHB1,EFNB2,EPHB1 EFNB2,human,15777695
connectomedb,CDB25:0003585,EPHB3 as ligand directly interacts extracellularly with EFNB2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHB3%20EFNB2-based-on-Pubmed-ID-22568954,%2038426726",EPHB3,EFNB2,EPHB3 EFNB2,human,22568954
connectomedb,CDB25:0003586,EPHB3 as ligand directly interacts extracellularly with EFNB3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHB3%20EFNB3-based-on-Pubmed-ID-22568954,%2038426726",EPHB3,EFNB3,EPHB3 EFNB3,human,22568954
connectomedb,CDB25:0003589,EPHB4 as ligand directly interacts extracellularly with EFNB2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-EPHB4%20EFNB2-based-on-Pubmed-ID-22568954,%2024348920",EPHB4,EFNB2,EPHB4 EFNB2,human,22568954
connectomedb,CDB25:0003599,F11R as ligand directly interacts extracellularly with ITGAL as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-F11R%20ITGAL-based-on-Pubmed-ID-11812992,%2015528364",F11R,ITGAL,F11R ITGAL,human,11812992
connectomedb,CDB25:0003600,F11R as ligand directly interacts extracellularly with ITGB2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-F11R%20ITGB2-based-on-Pubmed-ID-11812992,%2015528364",F11R,ITGB2,F11R ITGB2,human,11812992
connectomedb,CDB25:0003617,FGB as ligand directly interacts extracellularly with ITGB3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-FGB%20ITGB3-based-on-Pubmed-ID-15031111,%202018974,%2023551977",FGB,ITGB3,FGB ITGB3,human,15031111
connectomedb,CDB25:0003619,FGF1 as ligand directly interacts extracellularly with ITGB3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-FGF1%20ITGB3-based-on-Pubmed-ID-18441324,%2020422052",FGF1,ITGB3,FGF1 ITGB3,human,18441324
connectomedb,CDB25:0003633,FGG as ligand directly interacts extracellularly with ITGB3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-FGG%20ITGB3-based-on-Pubmed-ID-15031111,%2015378069,%2018710925,%2023551977",FGG,ITGB3,FGG ITGB3,human,15031111
connectomedb,CDB25:0003642,FLRT2 as ligand directly interacts extracellularly with ADGRL3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-FLRT2%20ADGRL3-based-on-Pubmed-ID-22405201,%2030477585",FLRT2,ADGRL3,FLRT2 ADGRL3,human,22405201
connectomedb,CDB25:0003649,FLRT3 as ligand directly interacts extracellularly with ADGRL1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-FLRT3%20ADGRL1-based-on-Pubmed-ID-22405201,%2024273166,%2030477585",FLRT3,ADGRL1,FLRT3 ADGRL1,human,22405201
connectomedb,CDB25:0003650,FLRT3 as ligand directly interacts extracellularly with ADGRL3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-FLRT3%20ADGRL3-based-on-Pubmed-ID-22405201,%2030477585,%2036746957",FLRT3,ADGRL3,FLRT3 ADGRL3,human,22405201
connectomedb,CDB25:0003680,GDF6 as ligand directly interacts extracellularly with ACVR2A as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-GDF6%20ACVR2A-based-on-Pubmed-ID-16049014,%2021702718",GDF6,ACVR2A,GDF6 ACVR2A,human,16049014
connectomedb,CDB25:0003683,GDF7 as ligand directly interacts extracellularly with BMPR1B as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-GDF7%20BMPR1B-based-on-Pubmed-ID-16049014,%2021702718",GDF7,BMPR1B,GDF7 BMPR1B,human,16049014
connectomedb,CDB25:0003700,GPR15LG as ligand directly interacts extracellularly with GPR15 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-GPR15LG%20GPR15-based-on-Pubmed-ID-38918398,%2040394646",GPR15LG,GPR15,GPR15LG GPR15,human,38918398
connectomedb,CDB25:0003704,HGF as ligand directly interacts extracellularly with NRP1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-HGF%20NRP1-based-on-Pubmed-ID-15695515,%2018065694",HGF,NRP1,HGF NRP1,human,15695515
connectomedb,CDB25:0003709,HLA-A as ligand directly interacts extracellularly with CD8A as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-HLA-A%20CD8A-based-on-Pubmed-ID-10809759,%2021645925",HLA-A,CD8A,HLA-A CD8A,human,10809759
connectomedb,CDB25:0003712,HLA-B as ligand directly interacts extracellularly with CD8A as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-HLA-B%20CD8A-based-on-Pubmed-ID-10809759,%2029741477",HLA-B,CD8A,HLA-B CD8A,human,10809759
connectomedb,CDB25:0003717,HLA-C as ligand directly interacts extracellularly with KIR2DS1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-HLA-C%20KIR2DS1-based-on-Pubmed-ID-7650491,%209464792",HLA-C,KIR2DS1,HLA-C KIR2DS1,human,7650491
connectomedb,CDB25:0003741,HSP90AA1 as ligand directly interacts extracellularly with LRP1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-HSP90AA1%20LRP1-based-on-Pubmed-ID-11290339,%2031273033",HSP90AA1,LRP1,HSP90AA1 LRP1,human,11290339
connectomedb,CDB25:0003774,IGHG1 as ligand directly interacts extracellularly with FCGR3B as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-IGHG1%20FCGR3B-based-on-Pubmed-ID-10917521,%2019018092",IGHG1,FCGR3B,IGHG1 FCGR3B,human,10917521
connectomedb,CDB25:0003778,IL16 as ligand directly interacts extracellularly with CD9 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-IL16%20CD9-based-on-Pubmed-ID-16144798,%2029884309",IL16,CD9,IL16 CD9,human,16144798
connectomedb,CDB25:0003787,IL1F10 as ligand directly interacts extracellularly with IL1RL2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-IL1F10%20IL1RL2-based-on-Pubmed-ID-22315422,%2026892022",IL1F10,IL1RL2,IL1F10 IL1RL2,human,22315422
connectomedb,CDB25:0003798,IL36G as ligand directly interacts extracellularly with IL1RL2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-IL36G%20IL1RL2-based-on-Pubmed-ID-11466363,%2014734551,%2029180446",IL36G,IL1RL2,IL36G IL1RL2,human,11466363
connectomedb,CDB25:0003804,INHBA as ligand directly interacts extracellularly with BMPR2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-INHBA%20BMPR2-based-on-Pubmed-ID-12493742,%2035643319",INHBA,BMPR2,INHBA BMPR2,human,12493742
connectomedb,CDB25:0003805,INHBB as ligand directly interacts extracellularly with BMPR2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-INHBB%20BMPR2-based-on-Pubmed-ID-28126904,%2035643319",INHBB,BMPR2,INHBB BMPR2,human,28126904
connectomedb,CDB25:0003808,INHBC as ligand directly interacts extracellularly with ACVR1C as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-INHBC%20ACVR1C-based-on-Pubmed-ID-35736809,%2039283655",INHBC,ACVR1C,INHBC ACVR1C,human,35736809
connectomedb,CDB25:0003809,INHBE as ligand directly interacts extracellularly with ACVR1C as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-INHBE%20ACVR1C-based-on-Pubmed-ID-37523551,%2038533769",INHBE,ACVR1C,INHBE ACVR1C,human,37523551
connectomedb,CDB25:0003824,IZUMO1 as ligand directly interacts extracellularly with IZUMO1R as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-IZUMO1%20IZUMO1R-based-on-Pubmed-ID-27309808,%2030517645",IZUMO1,IZUMO1R,IZUMO1 IZUMO1R,human,27309808
connectomedb,CDB25:0003827,JAM3 as ligand directly interacts extracellularly with ITGAM as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-JAM3%20ITGAM-based-on-Pubmed-ID-12208882,%2016093349",JAM3,ITGAM,JAM3 ITGAM,human,12208882
connectomedb,CDB25:0003828,JAM3 as ligand directly interacts extracellularly with ITGB2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-JAM3%20ITGB2-based-on-Pubmed-ID-12208882,%2016093349",JAM3,ITGB2,JAM3 ITGB2,human,12208882
connectomedb,CDB25:0003840,L1CAM as ligand directly interacts extracellularly with ITGB1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-L1CAM%20ITGB1-based-on-Pubmed-ID-8557754,%209396761",L1CAM,ITGB1,L1CAM ITGB1,human,8557754
connectomedb,CDB25:0003847,LAMA3 as ligand directly interacts extracellularly with ITGA3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-LAMA3%20ITGA3-based-on-Pubmed-ID-16413178,%2016571677,%2023236172",LAMA3,ITGA3,LAMA3 ITGA3,human,16413178
